permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
89685,43910,2010-12-31,44.66,169661.0,7577060.26,NIHD,N I I HOLDINGS INC,11,3,62913F20,350,349,140902,03,62913F508,0001037016,1037016,NII HOLDINGS INC,,,,,
76201,10634,2010-12-31,28.98,261060.0,7565518.8,XLNX,XILINX INC,11,3,98391910,351,350,022325,01,983919101,0000743988,743988,XILINX INC,,,,,
91556,7684,2010-12-31,63.25,119085.0,7532126.25,ROST,ROSS STORES INC,11,3,77829610,352,351,009248,01,778296103,0000745732,745732,ROSS STORES INC,,,,,
89509,43520,2010-12-31,88.53,84701.0,7498579.53,XEC,CIMAREX ENERGY CO,11,1,17179810,353,352,150699,01,171798101,0001168054,1168054,CIMAREX ENERGY CO,,,,,
25081,1261,2010-12-31,42.24,176492.0,7455022.08,CMA,COMERICA INC,11,1,20034010,354,353,003231,01,200340107,0000028412,28412,COMERICA INC,,,,,
83111,14394,2010-12-31,80.55,91494.0,7369841.7,ALXN,ALEXION PHARMACEUTICALS INC,11,3,01535110,355,354,062263,01,015351109,0000899866,899866,ALEXION PHARMACEUTICALS INC,,,,,
47626,20363,2010-12-31,27.05,269219.0,7282373.95,CNA,C N A FINANCIAL CORP,11,1,12611710,356,355,002558,01,126117100,0000021175,21175,CNA FINANCIAL CORP,,,,,
11891,9764,2010-12-31,14.85,488505.0,7254299.25,MGM,M G M RESORTS INTERNATIONAL,11,1,55295310,357,356,014418,01,552953101,0000789570,789570,MGM RESORTS INTERNATIONAL,,,,,
90277,13691,2010-12-31,89.4,81087.0,7249177.800000001,BUCY,BUCYRUS INTERNATIONAL INC NEW,11,3,11875910,358,357,024363,01,118759109,0000740761,740761,BUCYRUS INTERNATIONAL INC,,,,,
77338,11344,2010-12-31,76.43,94671.0,7235704.53,ROP,ROPER INDUSTRIES INC NEW,11,1,77669610,359,358,024925,01,776696106,0000882835,882835,ROPER TECHNOLOGIES INC,,,,,
90547,46145,2010-12-31,60.03,120404.0,7227852.12,ANR,ALPHA NATURAL RESOURCES INC,11,1,02076X10,360,359,<NA>,,,,,,,,,,
78875,11946,2010-12-31,65.89,109308.0,7202304.12,CREE,CREE INC,11,3,22544710,361,360,<NA>,,,,,,,,,,
