permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
46877,20268,2010-12-31,91.77,92903.0,8525708.31,BCR,BARD C R INC,11,1,06738310,317,316,002044,01,067383109,0000009892,9892,BARD (C.R.) INC,2010-12-15,10-K-A,0001193125-10-280715,20101215_10-K-A_edgar_data_9892_0001193125-10-280715.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101215_10-K-A_edgar_data_9892_0001193125-10-280715.txt
27043,21859,2010-12-31,69.28,119584.0,8284779.52,VAR,VARIAN MEDICAL SYSTEMS INC,11,1,92220P10,324,323,011115,01,92220P105,0000203527,203527,VARIAN MEDICAL SYSTEMS INC,2010-11-23,10-K,0001193125-10-267742,20101123_10-K_edgar_data_203527_0001193125-10-267742.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_203527_0001193125-10-267742.txt
53613,7065,2010-12-31,8.02,996800.0,7994336.0,MU,MICRON TECHNOLOGY INC,11,3,59511210,333,332,007343,01,595112103,0000723125,723125,MICRON TECHNOLOGY INC,2010-10-26,10-K,0000723125-10-000174,20101026_10-K_edgar_data_723125_0000723125-10-000174.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101026_10-K_edgar_data_723125_0000723125-10-000174.txt
50017,2706,2010-12-31,44.98,160072.0,7200038.56,RRC,RANGE RESOURCES CORP,11,1,75281A10,362,361,006788,01,75281A109,0000315852,315852,RANGE RESOURCES CORP,2010-11-19,10-K-A,0000950123-10-107366,20101119_10-K-A_edgar_data_315852_0000950123-10-107366.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101119_10-K-A_edgar_data_315852_0000950123-10-107366.txt
11896,9698,2010-12-31,23.62,296476.0,7002763.12,MXIM,MAXIM INTEGRATED PRODUCTS INC,11,3,57772K10,373,372,014256,01,57772K101,0000743316,743316,MAXIM INTEGRATED PRODUCTS,2010-11-30,10-K-A,0001445305-10-001426,20101130_10-K-A_edgar_data_743316_0001445305-10-001426.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101130_10-K-A_edgar_data_743316_0001445305-10-001426.txt
32870,20932,2010-12-31,51.26,133124.0,6823936.239999999,HRL,HORMEL FOODS CORP,11,1,44045210,379,378,005709,01,440452100,0000048465,48465,HORMEL FOODS CORP,2010-12-21,10-K,0001104659-10-063729,20101221_10-K_edgar_data_48465_0001104659-10-063729.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101221_10-K_edgar_data_48465_0001104659-10-063729.txt
53866,20690,2010-12-31,49.71,126385.0,6282598.350000001,FDO,FAMILY DOLLAR STORES INC,11,1,30700010,404,403,004560,01,307000109,0000034408,34408,FAMILY DOLLAR STORES,2010-10-26,10-K,0001193125-10-236638,20101026_10-K_edgar_data_34408_0001193125-10-236638.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101026_10-K_edgar_data_34408_0001193125-10-236638.txt
25232,21332,2010-12-31,55.47,106492.0,5907111.24,OKE,ONEOK INC NEW,11,1,68268010,417,416,008151,01,682680103,0001039684,1039684,ONEOK INC,2010-10-12,10-K-A,0001039684-10-000025,20101012_10-K-A_edgar_data_1039684_0001039684-10-000025.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101012_10-K-A_edgar_data_1039684_0001039684-10-000025.txt
81138,13457,2010-12-31,39.49,142670.0,5634038.300000001,APOL,APOLLO GROUP INC,11,3,03760410,432,431,031122,01,037604105,0000929887,929887,APOLLO EDUCATION GROUP INC,2010-10-21,10-K,0000950123-10-094652,20101021_10-K_edgar_data_929887_0000950123-10-094652.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101021_10-K_edgar_data_929887_0000950123-10-094652.txt
82759,14205,2010-12-31,18.18,300185.0,5457363.3,NUAN,NUANCE COMMUNICATIONS INC,11,3,67020Y10,442,441,061685,01,67020Y100,0001002517,1002517,NUANCE COMMUNICATIONS INC,2010-11-29,10-K,0000950123-10-109408,20101129_10-K_edgar_data_1002517_0000950123-10-109408.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101129_10-K_edgar_data_1002517_0000950123-10-109408.txt
