permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank
21207,21286,2010-12-31,61.43,486198.0,29867143.14,NEM,NEWMONT MINING CORP,11,1,65163910,90
27887,20277,2010-12-31,50.62,582727.0,29497640.74,BAX,BAXTER INTERNATIONAL INC,11,1,07181310,91
60628,1685,2010-12-31,93.01,315021.0,29300103.21,FDX,FEDEX CORP,11,1,31428X10,92
77768,29540,2010-12-31,95.47,306380.0,29250098.6,PX,PRAXAIR INC,11,1,74005P10,93
77274,11300,2010-12-31,36.24,801998.0,29064407.520000003,GILD,GILEAD SCIENCES INC,11,3,37555810,94
77668,11569,2010-12-31,54.05,528069.0,28542129.45,ESRX,EXPRESS SCRIPTS INC,11,3,30218210,95
89258,42524,2010-12-31,58.71,483349.0,28377419.79,PRU,PRUDENTIAL FINANCIAL INC,11,1,74432010,96
84032,31769,2010-12-31,67.25,419635.0,28220453.75,NOV,NATIONAL OILWELL VARCO INC,11,1,63707110,97
11552,9374,2010-12-31,59.14,470388.0,27818746.32,CELG,CELGENE CORP,11,3,15102010,98
21776,21396,2010-12-31,41.64,661413.0,27541237.32,EXC,EXELON CORP,11,1,30161N10,99
91233,50700,2010-12-31,224.11,122530.0,27460198.3,MA,MASTERCARD INC,11,1,57636Q10,100
12052,20791,2010-12-31,70.96,377744.0,26804714.24,GD,GENERAL DYNAMICS CORP,11,1,36955010,101
57904,92,2010-12-31,56.43,471261.0,26593258.23,AFL,AFLAC INC,11,1,00105510,102
90441,21287,2010-12-31,14.56,1822302.0,26532717.12,NWSA,NEWS CORP,11,3,65248E10,103
56573,20968,2010-12-31,53.4,495931.0,26482715.4,ITW,ILLINOIS TOOL WORKS INC,11,1,45230810,104
15069,21795,2010-12-31,37.03,709912.0,26288041.36,MRO,MARATHON OIL CORP,11,1,56584910,105
11081,9833,2010-12-31,13.55,1930291.0,26155443.05,DELL,DELL INC,11,3,24702R10,106
89813,44277,2010-12-31,61.27,424402.0,26003110.540000003,MHS,MEDCO HEALTH SOLUTIONS INC,11,1,58405U10,107
42534,21019,2010-12-31,38.2,676875.0,25856625.000000004,JCI,JOHNSON CONTROLS INC,11,1,47836610,108
17750,21055,2010-12-31,63.04,407793.0,25707270.72,KMB,KIMBERLY CLARK CORP,11,1,49436810,109
59459,4293,2010-12-31,55.71,460500.0,25654455.0,TRV,TRAVELERS COMPANIES INC,11,1,89417E10,110
21178,21110,2010-12-31,69.91,360128.0,25176548.48,LMT,LOCKHEED MARTIN CORP,11,1,53983010,111
28484,20064,2010-12-31,76.54,328755.0,25162907.700000003,HES,HESS CORP,11,1,42809H10,112
87267,36336,2010-12-31,190.58,131100.0,24985038.0,BLK,BLACKROCK INC,11,1,09247X10,113
37584,6407,2010-12-31,111.21,223993.0,24910261.529999997,BEN,FRANKLIN RESOURCES INC,11,1,35461310,114
64936,20592,2010-12-31,42.72,580508.0,24799301.759999998,D,DOMINION RESOURCES INC VA NEW,11,1,25746U10,115
75034,20253,2010-12-31,57.17,431274.0,24655934.580000002,BHI,BAKER HUGHES INC,11,1,05722410,116
62148,20370,2010-12-31,64.61,374185.0,24176092.85,CSX,C S X CORP,11,1,12640810,117
77702,11592,2010-12-31,32.13,745400.0,23949702.000000004,SBUX,STARBUCKS CORP,11,3,85524410,118
27959,20608,2010-12-31,17.81,1324549.0,23590217.689999998,DUK,DUKE ENERGY CORP NEW,11,1,26441C10,119
91883,51978,2010-12-31,66.03,355733.0,23489049.990000002,TWC,TIME WARNER CABLE INC,11,1,88732J20,120
72726,4260,2010-12-31,46.34,502025.0,23263838.5,STT,STATE STREET CORP,11,1,85747710,121
75825,22113,2010-12-31,91.41,254016.0,23219602.56,EOG,EOG RESOURCES INC,11,1,26875P10,122
85348,32093,2010-12-31,49.05,468584.0,22984045.2,YUM,YUM BRANDS INC,11,1,98849810,123
44644,20235,2010-12-31,46.28,494200.0,22871576.0,ADP,AUTOMATIC DATA PROCESSING INC,11,3,05301510,124
64311,21294,2010-12-31,62.82,363372.0,22827029.04,NSC,NORFOLK SOUTHERN CORP,11,1,65584410,125
17144,20798,2010-12-31,35.59,635812.0,22628549.080000002,GIS,GENERAL MILLS INC,11,1,37033410,126
89179,42273,2010-12-31,56.86,393610.0,22380664.6,WLP,WELLPOINT INC,11,1,94973V10,127
86158,16167,2010-12-31,73.29,303941.0,22275835.89,CTSH,COGNIZANT TECHNOLOGY SOLS CORP,11,3,19244610,128
91063,50032,2010-12-31,39.61,556183.0,22030408.63,VIA,VIACOM INC NEW,11,1,92553P20,129
62092,4557,2010-12-31,55.36,397478.0,22004382.08,TMO,THERMO FISHER SCIENTIFIC INC,11,1,88355610,130
83435,14521,2010-12-31,16.63,1308836.0,21765942.68,YHOO,YAHOO INC,11,3,98433210,131
41080,20543,2010-12-31,110.01,197810.0,21761078.1,CMI,CUMMINS INC,11,1,23102110,132
24205,20684,2010-12-31,51.99,415842.0,21619625.580000002,NEE,NEXTERA ENERGY INC,11,1,65339F10,133
89626,43791,2010-12-31,321.75,66847.0,21508022.25,CME,C M E GROUP INC,11,3,12572Q10,134
73139,4298,2010-12-31,53.7,397120.0,21325344.0,SYK,STRYKER CORP,11,1,86366710,135
22779,21230,2010-12-31,9.07,2349381.0,21308885.67,MOT,MOTOROLA INC,11,1,62007610,136
75646,22092,2010-12-31,68.67,307512.0,21116849.04,AGN,ALLERGAN INC,11,1,01849010,137
85963,16056,2010-12-31,43.55,484700.0,21108685.0,BRCM,BROADCOM CORP,11,3,11132010,138
60506,3487,2010-12-31,57.34,364900.0,20923366.0,PCAR,PACCAR INC,11,3,69371810,139
86111,34770,2010-12-31,51.64,399080.0,20608491.2,AMT,AMERICAN TOWER CORP,11,1,02991220,140
75186,21578,2010-12-31,17.11,1194828.0,20443507.08,SCHW,SCHWAB CHARLES CORP NEW,11,1,80851310,141
82598,14152,2010-12-31,54.96,361423.0,19863808.080000002,NTAP,NETAPP INC,11,3,64110D10,142
63830,3499,2010-12-31,139.21001,142617.0,19853713.996170003,PCP,PRECISION CASTPARTS CORP,11,1,74018910,143
86783,16454,2010-12-31,399.54999,49146.0,19636283.808539998,PCLN,PRICELINE COM INC,11,3,74150340,144
28222,20030,2010-12-31,90.95,214453.0,19504500.35,APD,AIR PRODUCTS & CHEMICALS INC,11,1,00915810,145
81055,30513,2010-12-31,42.56,456926.0,19446770.560000002,COF,CAPITAL ONE FINANCIAL CORP,11,1,14040H10,146
86979,16614,2010-12-31,36.92,523202.0,19316617.84,JNPR,JUNIPER NETWORKS INC,11,1,48203R10,147
