file_name,file_path,filing_date,form_type,cik,accession_number
20101112_10-K_edgar_data_1445191_0001213900-10-004600.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1445191_0001213900-10-004600.txt,20101112,10-K,1445191,0001213900-10-004600
20101112_10-K_edgar_data_1445192_0001213900-10-004604.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1445192_0001213900-10-004604.txt,20101112,10-K,1445192,0001213900-10-004604
20101112_10-K_edgar_data_1445193_0001213900-10-004598.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1445193_0001213900-10-004598.txt,20101112,10-K,1445193,0001213900-10-004598
20101112_10-K_edgar_data_1445194_0001213900-10-004596.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1445194_0001213900-10-004596.txt,20101112,10-K,1445194,0001213900-10-004596
20101112_10-K_edgar_data_1448242_0001165527-10-000836.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_1448242_0001165527-10-000836.txt,20101112,10-K,1448242,0001165527-10-000836
20101112_10-K_edgar_data_276720_0000950123-10-104947.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_276720_0000950123-10-104947.txt,20101112,10-K,276720,0000950123-10-104947
20101112_10-K_edgar_data_731802_0000950123-10-105040.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_731802_0000950123-10-105040.txt,20101112,10-K,731802,0000950123-10-105040
20101112_10-K_edgar_data_739608_0000950123-10-104720.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_739608_0000950123-10-104720.txt,20101112,10-K,739608,0000950123-10-104720
20101112_10-K_edgar_data_823277_0000950123-10-104712.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_823277_0000950123-10-104712.txt,20101112,10-K,823277,0000950123-10-104712
20101112_10-K_edgar_data_833444_0001047469-10-009627.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_833444_0001047469-10-009627.txt,20101112,10-K,833444,0001047469-10-009627
20101112_10-K_edgar_data_886206_0000886206-10-000031.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_886206_0000886206-10-000031.txt,20101112,10-K,886206,0000886206-10-000031
20101112_10-K_edgar_data_943535_0001079974-10-000629.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_943535_0001079974-10-000629.txt,20101112,10-K,943535,0001079974-10-000629
20101115_10-K-A_edgar_data_1024628_0001072613-10-000994.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1024628_0001072613-10-000994.txt,20101115,10-K-A,1024628,0001072613-10-000994
20101115_10-K-A_edgar_data_1099568_0000931731-10-000165.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1099568_0000931731-10-000165.txt,20101115,10-K-A,1099568,0000931731-10-000165
20101115_10-K-A_edgar_data_1415813_0001415812-10-000017.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1415813_0001415812-10-000017.txt,20101115,10-K-A,1415813,0001415812-10-000017
20101115_10-K-A_edgar_data_1423036_0001213900-10-004651.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1423036_0001213900-10-004651.txt,20101115,10-K-A,1423036,0001213900-10-004651
20101115_10-K-A_edgar_data_1450015_0001078782-10-002601.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1450015_0001078782-10-002601.txt,20101115,10-K-A,1450015,0001078782-10-002601
20101115_10-K-A_edgar_data_1452763_0001393905-10-000660.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1452763_0001393905-10-000660.txt,20101115,10-K-A,1452763,0001393905-10-000660
20101115_10-K-A_edgar_data_1463208_0001463208-10-000008.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_1463208_0001463208-10-000008.txt,20101115,10-K-A,1463208,0001463208-10-000008
20101115_10-K-A_edgar_data_40194_0001108890-10-000109.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_40194_0001108890-10-000109.txt,20101115,10-K-A,40194,0001108890-10-000109
20101115_10-K-A_edgar_data_751652_0000751652-10-000077.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_751652_0000751652-10-000077.txt,20101115,10-K-A,751652,0000751652-10-000077
20101115_10-K-A_edgar_data_825322_0001204459-10-002803.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_825322_0001204459-10-002803.txt,20101115,10-K-A,825322,0001204459-10-002803
20101115_10-K-A_edgar_data_946486_0001144204-10-059945.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K-A_edgar_data_946486_0001144204-10-059945.txt,20101115,10-K-A,946486,0001144204-10-059945
20101115_10-KT_edgar_data_852437_0000950123-10-105689.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-KT_edgar_data_852437_0000950123-10-105689.txt,20101115,10-KT,852437,0000950123-10-105689
20101115_10-K_edgar_data_1084702_0001193125-10-260886.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1084702_0001193125-10-260886.txt,20101115,10-K,1084702,0001193125-10-260886
20101115_10-K_edgar_data_1105284_0001078782-10-002538.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1105284_0001078782-10-002538.txt,20101115,10-K,1105284,0001078782-10-002538
20101115_10-K_edgar_data_1105284_0001078782-10-002589.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1105284_0001078782-10-002589.txt,20101115,10-K,1105284,0001078782-10-002589
20101115_10-K_edgar_data_1140382_0001076542-10-000150.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1140382_0001076542-10-000150.txt,20101115,10-K,1140382,0001076542-10-000150
20101115_10-K_edgar_data_1260221_0001193125-10-260837.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1260221_0001193125-10-260837.txt,20101115,10-K,1260221,0001193125-10-260837
20101115_10-K_edgar_data_1265840_0001062993-10-003669.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1265840_0001062993-10-003669.txt,20101115,10-K,1265840,0001062993-10-003669
20101115_10-K_edgar_data_1304898_0001062993-10-003744.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1304898_0001062993-10-003744.txt,20101115,10-K,1304898,0001062993-10-003744
20101115_10-K_edgar_data_1335002_0001171520-10-000748.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1335002_0001171520-10-000748.txt,20101115,10-K,1335002,0001171520-10-000748
20101115_10-K_edgar_data_1335493_0001013762-10-002769.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1335493_0001013762-10-002769.txt,20101115,10-K,1335493,0001013762-10-002769
20101115_10-K_edgar_data_1335725_0001144204-10-060479.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1335725_0001144204-10-060479.txt,20101115,10-K,1335725,0001144204-10-060479
20101115_10-K_edgar_data_1343601_0001062993-10-003717.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1343601_0001062993-10-003717.txt,20101115,10-K,1343601,0001062993-10-003717
20101115_10-K_edgar_data_1346248_0001213900-10-004746.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1346248_0001213900-10-004746.txt,20101115,10-K,1346248,0001213900-10-004746
20101115_10-K_edgar_data_1370816_0001478446-10-000336.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1370816_0001478446-10-000336.txt,20101115,10-K,1370816,0001478446-10-000336
20101115_10-K_edgar_data_1373485_0001062993-10-003739.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1373485_0001062993-10-003739.txt,20101115,10-K,1373485,0001062993-10-003739
20101115_10-K_edgar_data_1385508_0001185185-10-001281.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1385508_0001185185-10-001281.txt,20101115,10-K,1385508,0001185185-10-001281
20101115_10-K_edgar_data_1387976_0001019687-10-004058.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1387976_0001019687-10-004058.txt,20101115,10-K,1387976,0001019687-10-004058
20101115_10-K_edgar_data_1410253_0001415408-10-000634.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1410253_0001415408-10-000634.txt,20101115,10-K,1410253,0001415408-10-000634
20101115_10-K_edgar_data_1410708_0001410708-10-000008.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1410708_0001410708-10-000008.txt,20101115,10-K,1410708,0001410708-10-000008
20101115_10-K_edgar_data_1411096_0001096906-10-001519.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1411096_0001096906-10-001519.txt,20101115,10-K,1411096,0001096906-10-001519
20101115_10-K_edgar_data_1412299_0001213900-10-004796.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1412299_0001213900-10-004796.txt,20101115,10-K,1412299,0001213900-10-004796
20101115_10-K_edgar_data_1415432_0001300964-10-000137.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1415432_0001300964-10-000137.txt,20101115,10-K,1415432,0001300964-10-000137
20101115_10-K_edgar_data_1415751_0001165527-10-000862.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1415751_0001165527-10-000862.txt,20101115,10-K,1415751,0001165527-10-000862
20101115_10-K_edgar_data_1421665_0001013762-10-002684.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1421665_0001013762-10-002684.txt,20101115,10-K,1421665,0001013762-10-002684
20101115_10-K_edgar_data_1425808_0001140361-10-045815.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1425808_0001140361-10-045815.txt,20101115,10-K,1425808,0001140361-10-045815
20101115_10-K_edgar_data_14280_0001144204-10-060827.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_14280_0001144204-10-060827.txt,20101115,10-K,14280,0001144204-10-060827
20101115_10-K_edgar_data_1437925_0001255294-10-000964.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1437925_0001255294-10-000964.txt,20101115,10-K,1437925,0001255294-10-000964
20101115_10-K_edgar_data_1444275_0001478446-10-000338.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101115_10-K_edgar_data_1444275_0001478446-10-000338.txt,20101115,10-K,1444275,0001478446-10-000338
